timestamp,ticker,price,dividend,pe_ratio,usd_ils
2021-07-07 00:00:00,NVDA,20.33,0.0,,3.65
2021-07-08 00:00:00,NVDA,19.86,0.0,,3.65
2021-07-09 00:00:00,NVDA,20.01,0.0,,3.65
2021-07-12 00:00:00,NVDA,20.47,0.0,,3.65
2021-07-13 00:00:00,NVDA,20.2,0.0,,3.65
2021-07-14 00:00:00,NVDA,19.8,0.0,,3.65
2021-07-15 00:00:00,NVDA,18.92,0.0,,3.65
2021-07-16 00:00:00,NVDA,18.12,0.0,,3.65
2021-07-19 00:00:00,NVDA,18.74,0.0,,3.65
2021-07-20 00:00:00,NVDA,18.57,0.0,,3.65
2021-07-21 00:00:00,NVDA,19.37,0.0,,3.65
2021-07-22 00:00:00,NVDA,19.55,0.0,,3.65
2021-07-23 00:00:00,NVDA,19.51,0.0,,3.65
2021-07-26 00:00:00,NVDA,19.25,0.0,,3.65
2021-07-27 00:00:00,NVDA,19.17,0.0,,3.65
2021-07-28 00:00:00,NVDA,19.46,0.0,,3.65
2021-07-29 00:00:00,NVDA,19.62,0.0,,3.65
2021-07-30 00:00:00,NVDA,19.46,0.0,,3.65
2021-08-02 00:00:00,NVDA,19.71,0.0,,3.65
2021-08-03 00:00:00,NVDA,19.77,0.0,,3.65
2021-08-04 00:00:00,NVDA,20.23,0.0,,3.65
2021-08-05 00:00:00,NVDA,20.59,0.0,,3.65
2021-08-06 00:00:00,NVDA,20.32,0.0,,3.65
2021-08-09 00:00:00,NVDA,20.25,0.0,,3.65
2021-08-10 00:00:00,NVDA,19.89,0.0,,3.65
2021-08-11 00:00:00,NVDA,19.66,0.0,,3.65
2021-08-12 00:00:00,NVDA,19.86,0.0,,3.65
2021-08-13 00:00:00,NVDA,20.14,0.0,,3.65
2021-08-16 00:00:00,NVDA,19.91,0.0,,3.65
2021-08-17 00:00:00,NVDA,19.41,0.0,,3.65
2021-08-18 00:00:00,NVDA,19.0,0.0,,3.65
2021-08-19 00:00:00,NVDA,19.75,0.0,,3.65
2021-08-20 00:00:00,NVDA,20.77,0.0,,3.65
2021-08-23 00:00:00,NVDA,21.91,0.0,,3.65
2021-08-24 00:00:00,NVDA,21.74,0.0,,3.65
2021-08-25 00:00:00,NVDA,22.16,0.0,,3.65
2021-08-26 00:00:00,NVDA,22.02,0.0,,3.65
2021-08-27 00:00:00,NVDA,22.59,0.0,,3.65
2021-08-30 00:00:00,NVDA,22.64,0.0,,3.65
2021-08-31 00:00:00,NVDA,22.34,0.0,,3.65
2021-09-01 00:00:00,NVDA,22.39,0.0,,3.65
2021-09-02 00:00:00,NVDA,22.35,0.0,,3.65
2021-09-03 00:00:00,NVDA,22.8,0.0,,3.65
2021-09-07 00:00:00,NVDA,22.62,0.0,,3.65
2021-09-08 00:00:00,NVDA,22.29,0.0,,3.65
2021-09-09 00:00:00,NVDA,22.13,0.0,,3.65
2021-09-10 00:00:00,NVDA,22.43,0.0,,3.65
2021-09-13 00:00:00,NVDA,22.11,0.0,,3.65
2021-09-14 00:00:00,NVDA,22.2,0.0,,3.65
2021-09-15 00:00:00,NVDA,22.3,0.0,,3.65
2021-09-16 00:00:00,NVDA,22.2,0.0,,3.65
2021-09-17 00:00:00,NVDA,21.85,0.0,,3.65
2021-09-20 00:00:00,NVDA,21.07,0.0,,3.65
2021-09-21 00:00:00,NVDA,21.2,0.0,,3.65
2021-09-22 00:00:00,NVDA,21.9,0.0,,3.65
2021-09-23 00:00:00,NVDA,22.44,0.0,,3.65
2021-09-24 00:00:00,NVDA,22.04,0.0,,3.65
2021-09-27 00:00:00,NVDA,21.62,0.0,,3.65
2021-09-28 00:00:00,NVDA,20.66,0.0,,3.65
2021-09-29 00:00:00,NVDA,20.47,0.0,,3.65
2021-09-30 00:00:00,NVDA,20.67,0.0,,3.65
2021-10-01 00:00:00,NVDA,20.7,0.0,,3.65
2021-10-04 00:00:00,NVDA,19.69,0.0,,3.65
2021-10-05 00:00:00,NVDA,20.41,0.0,,3.65
2021-10-06 00:00:00,NVDA,20.66,0.0,,3.65
2021-10-07 00:00:00,NVDA,21.03,0.0,,3.65
2021-10-08 00:00:00,NVDA,20.79,0.0,,3.65
2021-10-11 00:00:00,NVDA,20.65,0.0,,3.65
2021-10-12 00:00:00,NVDA,20.63,0.0,,3.65
2021-10-13 00:00:00,NVDA,20.9,0.0,,3.65
2021-10-14 00:00:00,NVDA,21.7,0.0,,3.65
2021-10-15 00:00:00,NVDA,21.82,0.0,,3.65
2021-10-18 00:00:00,NVDA,22.18,0.0,,3.65
2021-10-19 00:00:00,NVDA,22.24,0.0,,3.65
2021-10-20 00:00:00,NVDA,22.06,0.0,,3.65
2021-10-21 00:00:00,NVDA,22.65,0.0,,3.65
2021-10-22 00:00:00,NVDA,22.68,0.0,,3.65
2021-10-25 00:00:00,NVDA,23.12,0.0,,3.65
2021-10-26 00:00:00,NVDA,24.67,0.0,,3.65
2021-10-27 00:00:00,NVDA,24.4,0.0,,3.65
2021-10-28 00:00:00,NVDA,24.89,0.0,,3.65
2021-10-29 00:00:00,NVDA,25.51,0.0,,3.65
2021-11-01 00:00:00,NVDA,25.77,0.0,,3.65
2021-11-02 00:00:00,NVDA,26.35,0.0,,3.65
2021-11-03 00:00:00,NVDA,26.54,0.0,,3.65
2021-11-04 00:00:00,NVDA,29.74,0.0,,3.65
2021-11-05 00:00:00,NVDA,29.69,0.0,,3.65
2021-11-08 00:00:00,NVDA,30.74,0.0,,3.65
2021-11-09 00:00:00,NVDA,30.59,0.0,,3.65
2021-11-10 00:00:00,NVDA,29.4,0.0,,3.65
2021-11-11 00:00:00,NVDA,30.33,0.0,,3.65
2021-11-12 00:00:00,NVDA,30.33,0.0,,3.65
2021-11-15 00:00:00,NVDA,29.96,0.0,,3.65
2021-11-16 00:00:00,NVDA,30.14,0.0,,3.65
2021-11-17 00:00:00,NVDA,29.2,0.0,,3.65
2021-11-18 00:00:00,NVDA,31.61,0.0,,3.65
2021-11-19 00:00:00,NVDA,32.92,0.0,,3.65
2021-11-22 00:00:00,NVDA,31.89,0.0,,3.65
2021-11-23 00:00:00,NVDA,31.68,0.0,,3.65
2021-11-24 00:00:00,NVDA,32.61,0.0,,3.65
2021-11-26 00:00:00,NVDA,31.44,0.0,,3.65
2021-11-29 00:00:00,NVDA,33.31,0.0,,3.65
2021-11-30 00:00:00,NVDA,32.61,0.0,,3.65
2021-12-01 00:00:00,NVDA,31.37,0.0,,3.65
2021-12-02 00:00:00,NVDA,32.06,0.0,,3.65
2021-12-03 00:00:00,NVDA,30.63,0.0,,3.65
2021-12-06 00:00:00,NVDA,29.98,0.0,,3.65
2021-12-07 00:00:00,NVDA,32.36,0.0,,3.65
2021-12-08 00:00:00,NVDA,31.76,0.0,,3.65
2021-12-09 00:00:00,NVDA,30.43,0.0,,3.65
2021-12-10 00:00:00,NVDA,30.14,0.0,,3.65
2021-12-13 00:00:00,NVDA,28.11,0.0,,3.65
2021-12-14 00:00:00,NVDA,28.28,0.0,,3.65
2021-12-15 00:00:00,NVDA,30.4,0.0,,3.65
2021-12-16 00:00:00,NVDA,28.33,0.0,,3.65
2021-12-17 00:00:00,NVDA,27.75,0.0,,3.65
2021-12-20 00:00:00,NVDA,27.67,0.0,,3.65
2021-12-21 00:00:00,NVDA,29.02,0.0,,3.65
2021-12-22 00:00:00,NVDA,29.34,0.0,,3.65
2021-12-23 00:00:00,NVDA,29.58,0.0,,3.65
2021-12-27 00:00:00,NVDA,30.89,0.0,,3.65
2021-12-28 00:00:00,NVDA,30.26,0.0,,3.65
2021-12-29 00:00:00,NVDA,29.94,0.0,,3.65
2021-12-30 00:00:00,NVDA,29.53,0.0,,3.65
2021-12-31 00:00:00,NVDA,29.35,0.0,,3.65
2022-01-03 00:00:00,NVDA,30.06,0.0,,3.65
2022-01-04 00:00:00,NVDA,29.23,0.0,,3.65
2022-01-05 00:00:00,NVDA,27.55,0.0,,3.65
2022-01-06 00:00:00,NVDA,28.12,0.0,,3.65
2022-01-07 00:00:00,NVDA,27.19,0.0,,3.65
2022-01-10 00:00:00,NVDA,27.35,0.0,,3.65
2022-01-11 00:00:00,NVDA,27.76,0.0,,3.65
2022-01-12 00:00:00,NVDA,27.94,0.0,,3.65
2022-01-13 00:00:00,NVDA,26.52,0.0,,3.65
2022-01-14 00:00:00,NVDA,26.89,0.0,,3.65
2022-01-18 00:00:00,NVDA,25.85,0.0,,3.65
2022-01-19 00:00:00,NVDA,25.02,0.0,,3.65
2022-01-20 00:00:00,NVDA,24.1,0.0,,3.65
2022-01-21 00:00:00,NVDA,23.33,0.0,,3.65
2022-01-24 00:00:00,NVDA,23.33,0.0,,3.65
2022-01-25 00:00:00,NVDA,22.28,0.0,,3.65
2022-01-26 00:00:00,NVDA,22.73,0.0,,3.65
2022-01-27 00:00:00,NVDA,21.9,0.0,,3.65
2022-01-28 00:00:00,NVDA,22.8,0.0,,3.65
2022-01-31 00:00:00,NVDA,24.44,0.0,,3.65
2022-02-01 00:00:00,NVDA,24.59,0.0,,3.65
2022-02-02 00:00:00,NVDA,25.19,0.0,,3.65
2022-02-03 00:00:00,NVDA,23.9,0.0,,3.65
2022-02-04 00:00:00,NVDA,24.27,0.0,,3.65
2022-02-07 00:00:00,NVDA,24.68,0.0,,3.65
2022-02-08 00:00:00,NVDA,25.06,0.0,,3.65
2022-02-09 00:00:00,NVDA,26.65,0.0,,3.65
2022-02-10 00:00:00,NVDA,25.77,0.0,,3.65
2022-02-11 00:00:00,NVDA,23.9,0.0,,3.65
2022-02-14 00:00:00,NVDA,24.22,0.0,,3.65
2022-02-15 00:00:00,NVDA,26.44,0.0,,3.65
2022-02-16 00:00:00,NVDA,26.46,0.0,,3.65
2022-02-17 00:00:00,NVDA,24.46,0.0,,3.65
2022-02-18 00:00:00,NVDA,23.6,0.0,,3.65
2022-02-22 00:00:00,NVDA,23.34,0.0,,3.65
2022-02-23 00:00:00,NVDA,22.34,0.0,,3.65
2022-02-24 00:00:00,NVDA,23.7,0.0,,3.65
2022-02-25 00:00:00,NVDA,24.11,0.0,,3.65
2022-02-28 00:00:00,NVDA,24.34,0.0,,3.65
2022-03-01 00:00:00,NVDA,23.43,0.0,,3.65
2022-03-02 00:00:00,NVDA,24.18,0.0,,3.65
2022-03-03 00:00:00,NVDA,23.67,0.0,,3.65
2022-03-04 00:00:00,NVDA,22.9,0.0,,3.65
2022-03-07 00:00:00,NVDA,21.31,0.0,,3.65
2022-03-08 00:00:00,NVDA,21.48,0.0,,3.65
2022-03-09 00:00:00,NVDA,22.97,0.0,,3.65
2022-03-10 00:00:00,NVDA,22.62,0.0,,3.65
2022-03-11 00:00:00,NVDA,22.06,0.0,,3.65
2022-03-14 00:00:00,NVDA,21.29,0.0,,3.65
2022-03-15 00:00:00,NVDA,22.93,0.0,,3.65
2022-03-16 00:00:00,NVDA,24.45,0.0,,3.65
2022-03-17 00:00:00,NVDA,24.72,0.0,,3.65
2022-03-18 00:00:00,NVDA,26.41,0.0,,3.65
2022-03-21 00:00:00,NVDA,26.69,0.0,,3.65
2022-03-22 00:00:00,NVDA,26.48,0.0,,3.65
2022-03-23 00:00:00,NVDA,25.59,0.0,,3.65
2022-03-24 00:00:00,NVDA,28.1,0.0,,3.65
2022-03-25 00:00:00,NVDA,27.64,0.0,,3.65
2022-03-28 00:00:00,NVDA,28.17,0.0,,3.65
2022-03-29 00:00:00,NVDA,28.61,0.0,,3.65
2022-03-30 00:00:00,NVDA,27.64,0.0,,3.65
2022-03-31 00:00:00,NVDA,27.24,0.0,,3.65
2022-04-01 00:00:00,NVDA,26.66,0.0,,3.65
2022-04-04 00:00:00,NVDA,27.31,0.0,,3.65
2022-04-05 00:00:00,NVDA,25.89,0.0,,3.65
2022-04-06 00:00:00,NVDA,24.36,0.0,,3.65
2022-04-07 00:00:00,NVDA,24.17,0.0,,3.65
2022-04-08 00:00:00,NVDA,23.08,0.0,,3.65
2022-04-11 00:00:00,NVDA,21.88,0.0,,3.65
2022-04-12 00:00:00,NVDA,21.47,0.0,,3.65
2022-04-13 00:00:00,NVDA,22.16,0.0,,3.65
2022-04-14 00:00:00,NVDA,21.22,0.0,,3.65
2022-04-18 00:00:00,NVDA,21.74,0.0,,3.65
2022-04-19 00:00:00,NVDA,22.16,0.0,,3.65
2022-04-20 00:00:00,NVDA,21.44,0.0,,3.65
2022-04-21 00:00:00,NVDA,20.15,0.0,,3.65
2022-04-22 00:00:00,NVDA,19.48,0.0,,3.65
2022-04-25 00:00:00,NVDA,19.87,0.0,,3.65
2022-04-26 00:00:00,NVDA,18.75,0.0,,3.65
2022-04-27 00:00:00,NVDA,18.38,0.0,,3.65
2022-04-28 00:00:00,NVDA,19.75,0.0,,3.65
2022-04-29 00:00:00,NVDA,18.51,0.0,,3.65
2022-05-02 00:00:00,NVDA,19.5,0.0,,3.65
2022-05-03 00:00:00,NVDA,19.57,0.0,,3.65
2022-05-04 00:00:00,NVDA,20.3,0.0,,3.65
2022-05-05 00:00:00,NVDA,18.81,0.0,,3.65
2022-05-06 00:00:00,NVDA,18.64,0.0,,3.65
2022-05-09 00:00:00,NVDA,16.92,0.0,,3.65
2022-05-10 00:00:00,NVDA,17.56,0.0,,3.65
2022-05-11 00:00:00,NVDA,16.6,0.0,,3.65
2022-05-12 00:00:00,NVDA,16.15,0.0,,3.65
2022-05-13 00:00:00,NVDA,17.67,0.0,,3.65
2022-05-16 00:00:00,NVDA,17.23,0.0,,3.65
2022-05-17 00:00:00,NVDA,18.14,0.0,,3.65
2022-05-18 00:00:00,NVDA,16.91,0.0,,3.65
2022-05-19 00:00:00,NVDA,17.09,0.0,,3.65
2022-05-20 00:00:00,NVDA,16.66,0.0,,3.65
2022-05-23 00:00:00,NVDA,16.87,0.0,,3.65
2022-05-24 00:00:00,NVDA,16.13,0.0,,3.65
2022-05-25 00:00:00,NVDA,16.95,0.0,,3.65
2022-05-26 00:00:00,NVDA,17.82,0.0,,3.65
2022-05-27 00:00:00,NVDA,18.78,0.0,,3.65
2022-05-31 00:00:00,NVDA,18.64,0.0,,3.65
2022-06-01 00:00:00,NVDA,18.29,0.0,,3.65
2022-06-02 00:00:00,NVDA,19.56,0.0,,3.65
2022-06-03 00:00:00,NVDA,18.69,0.0,,3.65
2022-06-06 00:00:00,NVDA,18.75,0.0,,3.65
2022-06-07 00:00:00,NVDA,18.89,0.0,,3.65
2022-06-08 00:00:00,NVDA,18.62,0.0,,3.65
2022-06-09 00:00:00,NVDA,18.02,0.0,,3.65
2022-06-10 00:00:00,NVDA,16.95,0.0,,3.65
2022-06-13 00:00:00,NVDA,15.62,0.0,,3.65
2022-06-14 00:00:00,NVDA,15.81,0.0,,3.65
2022-06-15 00:00:00,NVDA,16.5,0.0,,3.65
2022-06-16 00:00:00,NVDA,15.58,0.0,,3.65
2022-06-17 00:00:00,NVDA,15.86,0.0,,3.65
2022-06-21 00:00:00,NVDA,16.54,0.0,,3.65
2022-06-22 00:00:00,NVDA,16.33,0.0,,3.65
2022-06-23 00:00:00,NVDA,16.2,0.0,,3.65
2022-06-24 00:00:00,NVDA,17.1,0.0,,3.65
2022-06-27 00:00:00,NVDA,16.84,0.0,,3.65
2022-06-28 00:00:00,NVDA,15.96,0.0,,3.65
2022-06-29 00:00:00,NVDA,15.52,0.0,,3.65
2022-06-30 00:00:00,NVDA,15.14,0.0,,3.65
2022-07-01 00:00:00,NVDA,14.5,0.0,,3.65
2022-07-05 00:00:00,NVDA,14.94,0.0,,3.65
2022-07-06 00:00:00,NVDA,15.11,0.0,,3.65
2022-07-07 00:00:00,NVDA,15.83,0.0,,3.65
2022-07-08 00:00:00,NVDA,15.81,0.0,,3.65
2022-07-11 00:00:00,NVDA,15.13,0.0,,3.65
2022-07-12 00:00:00,NVDA,15.06,0.0,,3.65
2022-07-13 00:00:00,NVDA,15.14,0.0,,3.65
2022-07-14 00:00:00,NVDA,15.35,0.0,,3.65
2022-07-15 00:00:00,NVDA,15.74,0.0,,3.65
2022-07-18 00:00:00,NVDA,16.08,0.0,,3.65
2022-07-19 00:00:00,NVDA,16.97,0.0,,3.65
2022-07-20 00:00:00,NVDA,17.78,0.0,,3.65
2022-07-21 00:00:00,NVDA,18.02,0.0,,3.65
2022-07-22 00:00:00,NVDA,17.29,0.0,,3.65
2022-07-25 00:00:00,NVDA,17.0,0.0,,3.65
2022-07-26 00:00:00,NVDA,16.51,0.0,,3.65
2022-07-27 00:00:00,NVDA,17.76,0.0,,3.65
2022-07-28 00:00:00,NVDA,17.96,0.0,,3.65
2022-07-29 00:00:00,NVDA,18.13,0.0,,3.65
2022-08-01 00:00:00,NVDA,18.41,0.0,,3.65
2022-08-02 00:00:00,NVDA,18.5,0.0,,3.65
2022-08-03 00:00:00,NVDA,18.86,0.0,,3.65
2022-08-04 00:00:00,NVDA,19.19,0.0,,3.65
2022-08-05 00:00:00,NVDA,18.96,0.0,,3.65
2022-08-08 00:00:00,NVDA,17.77,0.0,,3.65
2022-08-09 00:00:00,NVDA,17.06,0.0,,3.65
2022-08-10 00:00:00,NVDA,18.07,0.0,,3.65
2022-08-11 00:00:00,NVDA,17.91,0.0,,3.65
2022-08-12 00:00:00,NVDA,18.68,0.0,,3.65
2022-08-15 00:00:00,NVDA,19.0,0.0,,3.65
2022-08-16 00:00:00,NVDA,18.85,0.0,,3.65
2022-08-17 00:00:00,NVDA,18.31,0.0,,3.65
2022-08-18 00:00:00,NVDA,18.74,0.0,,3.65
2022-08-19 00:00:00,NVDA,17.82,0.0,,3.65
2022-08-22 00:00:00,NVDA,17.01,0.0,,3.65
2022-08-23 00:00:00,NVDA,17.15,0.0,,3.65
2022-08-24 00:00:00,NVDA,17.2,0.0,,3.65
2022-08-25 00:00:00,NVDA,17.89,0.0,,3.65
2022-08-26 00:00:00,NVDA,16.23,0.0,,3.65
2022-08-29 00:00:00,NVDA,15.78,0.0,,3.65
2022-08-30 00:00:00,NVDA,15.44,0.0,,3.65
2022-08-31 00:00:00,NVDA,15.07,0.0,,3.65
2022-09-01 00:00:00,NVDA,13.92,0.0,,3.65
2022-09-02 00:00:00,NVDA,13.63,0.0,,3.65
2022-09-06 00:00:00,NVDA,13.44,0.0,,3.65
2022-09-07 00:00:00,NVDA,13.7,0.0,,3.65
2022-09-08 00:00:00,NVDA,13.97,0.0,,3.65
2022-09-09 00:00:00,NVDA,14.37,0.0,,3.65
2022-09-12 00:00:00,NVDA,14.49,0.0,,3.65
2022-09-13 00:00:00,NVDA,13.11,0.0,,3.65
2022-09-14 00:00:00,NVDA,13.11,0.0,,3.65
2022-09-15 00:00:00,NVDA,12.91,0.0,,3.65
2022-09-16 00:00:00,NVDA,13.18,0.0,,3.65
2022-09-19 00:00:00,NVDA,13.37,0.0,,3.65
2022-09-20 00:00:00,NVDA,13.16,0.0,,3.65
2022-09-21 00:00:00,NVDA,13.24,0.0,,3.65
2022-09-22 00:00:00,NVDA,12.55,0.0,,3.65
2022-09-23 00:00:00,NVDA,12.5,0.0,,3.65
2022-09-26 00:00:00,NVDA,12.21,0.0,,3.65
2022-09-27 00:00:00,NVDA,12.4,0.0,,3.65
2022-09-28 00:00:00,NVDA,12.72,0.0,,3.65
2022-09-29 00:00:00,NVDA,12.2,0.0,,3.65
2022-09-30 00:00:00,NVDA,12.12,0.0,,3.65
2022-10-03 00:00:00,NVDA,12.5,0.0,,3.65
2022-10-04 00:00:00,NVDA,13.15,0.0,,3.65
2022-10-05 00:00:00,NVDA,13.19,0.0,,3.65
2022-10-06 00:00:00,NVDA,13.11,0.0,,3.65
2022-10-07 00:00:00,NVDA,12.06,0.0,,3.65
2022-10-10 00:00:00,NVDA,11.66,0.0,,3.65
2022-10-11 00:00:00,NVDA,11.57,0.0,,3.65
2022-10-12 00:00:00,NVDA,11.49,0.0,,3.65
2022-10-13 00:00:00,NVDA,11.94,0.0,,3.65
2022-10-14 00:00:00,NVDA,11.21,0.0,,3.65
2022-10-17 00:00:00,NVDA,11.87,0.0,,3.65
2022-10-18 00:00:00,NVDA,11.95,0.0,,3.65
2022-10-19 00:00:00,NVDA,12.04,0.0,,3.65
2022-10-20 00:00:00,NVDA,12.18,0.0,,3.65
2022-10-21 00:00:00,NVDA,12.45,0.0,,3.65
2022-10-24 00:00:00,NVDA,12.58,0.0,,3.65
2022-10-25 00:00:00,NVDA,13.24,0.0,,3.65
2022-10-26 00:00:00,NVDA,12.88,0.0,,3.65
2022-10-27 00:00:00,NVDA,13.16,0.0,,3.65
2022-10-28 00:00:00,NVDA,13.82,0.0,,3.65
2022-10-31 00:00:00,NVDA,13.48,0.0,,3.65
2022-11-01 00:00:00,NVDA,13.53,0.0,,3.65
2022-11-02 00:00:00,NVDA,13.2,0.0,,3.65
2022-11-03 00:00:00,NVDA,13.4,0.0,,3.65
2022-11-04 00:00:00,NVDA,14.14,0.0,,3.65
2022-11-07 00:00:00,NVDA,14.28,0.0,,3.65
2022-11-08 00:00:00,NVDA,14.58,0.0,,3.65
2022-11-09 00:00:00,NVDA,13.76,0.0,,3.65
2022-11-10 00:00:00,NVDA,15.73,0.0,,3.65
2022-11-11 00:00:00,NVDA,16.31,0.0,,3.65
2022-11-14 00:00:00,NVDA,16.27,0.0,,3.65
2022-11-15 00:00:00,NVDA,16.65,0.0,,3.65
2022-11-16 00:00:00,NVDA,15.89,0.0,,3.65
2022-11-17 00:00:00,NVDA,15.66,0.0,,3.65
2022-11-18 00:00:00,NVDA,15.39,0.0,,3.65
2022-11-21 00:00:00,NVDA,15.3,0.0,,3.65
2022-11-22 00:00:00,NVDA,16.02,0.0,,3.65
2022-11-23 00:00:00,NVDA,16.5,0.0,,3.65
2022-11-25 00:00:00,NVDA,16.25,0.0,,3.65
2022-11-28 00:00:00,NVDA,15.81,0.0,,3.65
2022-11-29 00:00:00,NVDA,15.62,0.0,,3.65
2022-11-30 00:00:00,NVDA,16.91,0.0,,3.65
2022-12-01 00:00:00,NVDA,17.12,0.0,,3.65
2022-12-02 00:00:00,NVDA,16.86,0.0,,3.65
2022-12-05 00:00:00,NVDA,16.59,0.0,,3.65
2022-12-06 00:00:00,NVDA,15.97,0.0,,3.65
2022-12-07 00:00:00,NVDA,16.1,0.0,,3.65
2022-12-08 00:00:00,NVDA,17.15,0.0,,3.65
2022-12-09 00:00:00,NVDA,16.98,0.0,,3.65
2022-12-12 00:00:00,NVDA,17.52,0.0,,3.65
2022-12-13 00:00:00,NVDA,18.05,0.0,,3.65
2022-12-14 00:00:00,NVDA,17.66,0.0,,3.65
2022-12-15 00:00:00,NVDA,16.94,0.0,,3.65
2022-12-16 00:00:00,NVDA,16.55,0.0,,3.65
2022-12-19 00:00:00,NVDA,16.24,0.0,,3.65
2022-12-20 00:00:00,NVDA,16.07,0.0,,3.65
2022-12-21 00:00:00,NVDA,16.48,0.0,,3.65
2022-12-22 00:00:00,NVDA,15.32,0.0,,3.65
2022-12-23 00:00:00,NVDA,15.19,0.0,,3.65
2022-12-27 00:00:00,NVDA,14.11,0.0,,3.65
2022-12-28 00:00:00,NVDA,14.02,0.0,,3.65
2022-12-29 00:00:00,NVDA,14.59,0.0,,3.65
2022-12-30 00:00:00,NVDA,14.6,0.0,,3.65
2023-01-03 00:00:00,NVDA,14.3,0.0,,3.65
2023-01-04 00:00:00,NVDA,14.73,0.0,,3.65
2023-01-05 00:00:00,NVDA,14.25,0.0,,3.65
2023-01-06 00:00:00,NVDA,14.84,0.0,,3.65
2023-01-09 00:00:00,NVDA,15.61,0.0,,3.65
2023-01-10 00:00:00,NVDA,15.89,0.0,,3.65
2023-01-11 00:00:00,NVDA,15.98,0.0,,3.65
2023-01-12 00:00:00,NVDA,16.49,0.0,,3.65
2023-01-13 00:00:00,NVDA,16.88,0.0,,3.65
2023-01-17 00:00:00,NVDA,17.68,0.0,,3.65
2023-01-18 00:00:00,NVDA,17.36,0.0,,3.65
2023-01-19 00:00:00,NVDA,16.75,0.0,,3.65
2023-01-20 00:00:00,NVDA,17.82,0.0,,3.65
2023-01-23 00:00:00,NVDA,19.17,0.0,,3.65
2023-01-24 00:00:00,NVDA,19.25,0.0,,3.65
2023-01-25 00:00:00,NVDA,19.3,0.0,,3.65
2023-01-26 00:00:00,NVDA,19.78,0.0,,3.65
2023-01-27 00:00:00,NVDA,20.34,0.0,,3.65
2023-01-30 00:00:00,NVDA,19.14,0.0,,3.65
2023-01-31 00:00:00,NVDA,19.52,0.0,,3.65
2023-02-01 00:00:00,NVDA,20.92,0.0,,3.65
2023-02-02 00:00:00,NVDA,21.69,0.0,,3.65
2023-02-03 00:00:00,NVDA,21.08,0.0,,3.65
2023-02-06 00:00:00,NVDA,21.07,0.0,,3.65
2023-02-07 00:00:00,NVDA,22.15,0.0,,3.65
2023-02-08 00:00:00,NVDA,22.18,0.0,,3.65
2023-02-09 00:00:00,NVDA,22.31,0.0,,3.65
2023-02-10 00:00:00,NVDA,21.24,0.0,,3.65
2023-02-13 00:00:00,NVDA,21.77,0.0,,3.65
2023-02-14 00:00:00,NVDA,22.95,0.0,,3.65
2023-02-15 00:00:00,NVDA,22.74,0.0,,3.65
2023-02-16 00:00:00,NVDA,21.98,0.0,,3.65
2023-02-17 00:00:00,NVDA,21.37,0.0,,3.65
2023-02-21 00:00:00,NVDA,20.63,0.0,,3.65
2023-02-22 00:00:00,NVDA,20.73,0.0,,3.65
2023-02-23 00:00:00,NVDA,23.64,0.0,,3.65
2023-02-24 00:00:00,NVDA,23.26,0.0,,3.65
2023-02-27 00:00:00,NVDA,23.48,0.0,,3.65
2023-02-28 00:00:00,NVDA,23.19,0.0,,3.65
2023-03-01 00:00:00,NVDA,22.68,0.0,,3.65
2023-03-02 00:00:00,NVDA,23.29,0.0,,3.65
2023-03-03 00:00:00,NVDA,23.87,0.0,,3.65
2023-03-06 00:00:00,NVDA,23.53,0.0,,3.65
2023-03-07 00:00:00,NVDA,23.27,0.0,,3.65
2023-03-08 00:00:00,NVDA,24.16,0.0,,3.65
2023-03-09 00:00:00,NVDA,23.42,0.0,,3.65
2023-03-10 00:00:00,NVDA,22.95,0.0,,3.65
2023-03-13 00:00:00,NVDA,22.95,0.0,,3.65
2023-03-14 00:00:00,NVDA,24.04,0.0,,3.65
2023-03-15 00:00:00,NVDA,24.21,0.0,,3.65
2023-03-16 00:00:00,NVDA,25.52,0.0,,3.65
2023-03-17 00:00:00,NVDA,25.7,0.0,,3.65
2023-03-20 00:00:00,NVDA,25.88,0.0,,3.65
2023-03-21 00:00:00,NVDA,26.18,0.0,,3.65
2023-03-22 00:00:00,NVDA,26.45,0.0,,3.65
2023-03-23 00:00:00,NVDA,27.17,0.0,,3.65
2023-03-24 00:00:00,NVDA,26.76,0.0,,3.65
2023-03-27 00:00:00,NVDA,26.51,0.0,,3.65
2023-03-28 00:00:00,NVDA,26.39,0.0,,3.65
2023-03-29 00:00:00,NVDA,26.96,0.0,,3.65
2023-03-30 00:00:00,NVDA,27.36,0.0,,3.65
2023-03-31 00:00:00,NVDA,27.75,0.0,,3.65
2023-04-03 00:00:00,NVDA,27.94,0.0,,3.65
2023-04-04 00:00:00,NVDA,27.43,0.0,,3.65
2023-04-05 00:00:00,NVDA,26.86,0.0,,3.65
2023-04-06 00:00:00,NVDA,27.01,0.0,,3.65
2023-04-10 00:00:00,NVDA,27.56,0.0,,3.65
2023-04-11 00:00:00,NVDA,27.15,0.0,,3.65
2023-04-12 00:00:00,NVDA,26.47,0.0,,3.65
2023-04-13 00:00:00,NVDA,26.44,0.0,,3.65
2023-04-14 00:00:00,NVDA,26.74,0.0,,3.65
2023-04-17 00:00:00,NVDA,26.98,0.0,,3.65
2023-04-18 00:00:00,NVDA,27.64,0.0,,3.65
2023-04-19 00:00:00,NVDA,27.91,0.0,,3.65
